crop,stress,intervention,n,germination_mean,vigour_mean,leakage_mean,mda_mean,proline_mean,catalase_mean,recovery_mean
Pepper,Control,Hydropriming,180,84.44903600470668,776.9931313672556,21.503767383511537,3.588885613317642,18.06703918112314,0.024892577345491804,95.8817726294638
Pepper,Control,Melatonin,180,84.39240380909342,779.6292136411793,19.555038320228746,3.123167363822407,17.028895003971176,0.02885725887444599,95.40429252437092
Pepper,Control,None,180,84.20038150554252,772.230673716793,24.40940842540322,3.9914387201787593,19.635098421365043,0.020958718168657773,95.4663379797715
Pepper,Control,ProteinHydrolysate,180,84.51321511318544,782.0617994122183,19.244735488902123,3.1368694704889677,18.519717370237977,0.02905026526929512,95.54391987023041
Pepper,Control,ResiliencePrimer,180,84.27393798676214,773.4567418386823,17.083912035137427,2.9530827705552154,17.505479077906323,0.031073389074120685,95.22374718478348
Pepper,Drought,Hydropriming,180,67.27070999129593,479.26737730426686,30.729236260179334,7.439235577373956,35.13692270929337,0.035101682226930206,52.60462754226953
Pepper,Drought,Melatonin,180,69.50807181746738,510.3880629368019,27.392705679938256,6.526678897061404,33.072619448430686,0.03841021605471684,57.75534370689959
Pepper,Drought,None,180,64.38879910414312,436.79762984401845,34.21810643408311,8.358873917513314,37.05168277060364,0.030893890220953693,47.217737646926
Pepper,Drought,ProteinHydrolysate,180,69.4919650562029,516.428128740184,27.135087304136214,6.393249150911115,35.741121574520854,0.03890255198780587,58.398008965309295
Pepper,Drought,ResiliencePrimer,180,70.74246311989889,533.2768696993131,24.36156668757259,6.0021847045838435,33.63193487790323,0.0406012780727964,61.231787414032425
Pepper,Heat,Hydropriming,180,72.34943251777844,557.67923527234,27.73685353193703,5.7132449575612085,25.679955831329508,0.030863460295194652,58.46014909026549
Pepper,Heat,Melatonin,180,74.25160117423634,586.9126280010826,25.118015918878687,4.8779470413910655,23.99352022163473,0.03332586380875009,62.148188280463124
Pepper,Heat,None,180,70.48253614663184,521.7973473970834,31.25143017416948,6.413732133488826,27.07630386209729,0.026908109884214024,53.576844745441605
