crop,intervention,germination_mean,vigour_mean,leakage_mean,mda_mean,proline_mean,catalase_mean,recovery_mean,composite_score
Pepper,ResiliencePrimer,63.638316084950375,426.1299725353042,28.092634366045267,9.05232586958612,40.95037938632056,0.04562039463914145,53.30315063324298,0.8924641302357293
Pepper,ProteinHydrolysate,61.36971105430958,395.8776775179148,30.911852435471637,9.41715734663836,42.89464467656956,0.042970976623822134,49.14527621011582,0.8334528114094424
Pepper,Melatonin,62.35397846265943,397.75924660332726,31.443409859133922,9.508239587964141,39.53516113614208,0.041681572964998956,48.145261532245385,0.8331754789935809
Pepper,Hydropriming,58.647360323336486,356.7346289603052,34.72480987323976,11.009832620638125,42.04025152488841,0.0390807043478197,41.641203241392034,0.7410789255053521
Pepper,None,54.26236439266928,295.9405605398624,39.12190292139822,12.304591525224277,44.87795341055607,0.03516246024005148,35.405215574600454,0.6322638665366281
Tomato,ResiliencePrimer,63.33492332165464,409.801985627872,27.899547150891124,9.067737771431252,40.52588188655266,0.04461190093926851,52.340073751016014,0.875293425070991
Tomato,Melatonin,61.06658840499179,374.7969026926989,32.007153794919766,9.571532651989916,39.867512377327515,0.04094412842152611,47.6463627029237,0.807155783723097
Tomato,ProteinHydrolysate,60.599176856434134,374.72075666864475,31.647920351412925,9.431688944662499,43.80264164804119,0.04143666627050403,47.4948234983828,0.8057081681563634
Tomato,Hydropriming,57.66837178094391,337.269245430171,35.12838166129125,11.131421435388372,42.25021408140983,0.03784262153998483,41.75870481240635,0.7218171852703517
Tomato,None,54.06310151263322,284.4604552666278,39.74031909047926,12.453219152683532,44.9039099237888,0.03406549923929633,34.30314635409341,0.6160113003025806
